p,q,r,A1,L1,A2,L2,A3,L3
5,4,4,0.715957186,602,0.659614056,621,0.737235764,638
5,5,4,0.594369672,604,0.767445207,621,0.635328528,636
5,6,4,0.410257329,606,0.845704877,621,0.454334152,635
5,7,4,0.329828113,606,0.897391328,621,0.353184693,634
5,8,4,0.251167372,607,0.929621277,621,0.276107295,633
5,9,4,0.181604596,607,0.949114889,621,0.19705761,633
5,2,5,0.894999777,596,0.280981881,621,0.890645904,645
5,3,5,0.893224222,601,0.401966073,621,0.886333572,640
5,4,5,0.812499111,604,0.536561105,621,0.84212612,636
5,5,5,0.662373069,606,0.665261876,621,0.694029937,634
5,6,5,0.600856654,608,0.771108631,621,0.629524725,632
5,7,5,0.470203505,609,0.847756928,621,0.501244549,631
5,8,5,0.31793522,609,0.89843941,621,0.392804423,630
5,9,5,0.267102887,610,0.930136616,621,0.298863776,630
5,2,6,0.937261906,597,0.188118216,621,0.924737729,644
5,3,6,0.935060336,602,0.28432614,621,0.895159801,639
5,4,6,0.811700395,605,0.405904496,621,0.87146334,635
5,5,6,0.80780128,608,0.540536417,621,0.838417927,632
5,6,6,0.628849836,610,0.668654965,621,0.745871481,630
5,7,6,0.555129793,611,0.773592618,621,0.637339144,629
5,8,6,0.448996726,611,0.849377044,621,0.532491575,628
5,9,6,0.374495076,612,0.899424704,621,0.418090031,627
5,2,7,0.956230181,598,0.120330466,621,0.921600266,644
5,3,7,0.913893145,603,0.189683482,621,0.955198967,638
5,4,7,0.907543975,606,0.286714459,621,0.930172238,634
5,5,7,0.860823442,609,0.409228918,621,0.898278944,631
5,6,7,0.742943574,611,0.544584586,621,0.835247533,629
5,7,7,0.71033315,612,0.672847018,621,0.714647595,628
5,8,7,0.579261361,613,0.777283201,621,0.641438699,627
5,9,7,0.485942231,613,0.852211705,621,0.586289364,626
5,2,8,0.975425684,598,0.07468011,621,0.957364758,643
5,3,8,0.973256929,603,0.121306389,621,0.928123107,637
5,4,8,0.91929096,607,0.191635508,621,0.943180209,633
5,5,8,0.863468572,609,0.290378404,621,0.912607905,630
5,6,8,0.833547075,611,0.415311602,621,0.887099466,628
5,7,8,0.761136305,613,0.553056806,621,0.821209564,627
5,8,8,0.663853244,614,0.682477135,621,0.75449963,626
5,9,8,0.602127576,614,0.78628716,621,0.715738225,625
6,2,2,0.62209667,589,0.44730327,622,0.610021504,654
6,3,2,0.456764573,593,0.557425051,621,0.456858644,649
6,4,2,0.361592286,595,0.65381012,621,0.342458133,647
6,5,2,0.214327872,597,0.72442406,621,0.255969663,645
6,6,2,0.141041585,597,0.771508921,621,0.171812905,644
6,7,2,0.111818965,598,0.801154512,621,0.115684471,643
6,8,2,0.065579424,598,0.81923846,621,0.076618594,643
6,9,2,0.046081841,599,0.830087876,621,0.048802234,642
6,2,3,0.662726614,593,0.352133948,621,0.673990885,650
6,3,3,0.555838893,597,0.467293095,621,0.593336111,645
6,4,3,0.42641142,599,0.576396173,621,0.438416881,642
6,5,3,0.340423095,601,0.665956238,621,0.323152905,640
6,6,3,0.232300249,602,0.731318097,621,0.234667715,638
6,7,3,0.157779485,603,0.775185696,621,0.155607123,638
6,8,3,0.103296843,603,0.803086641,621,0.116088113,637
6,9,3,0.064352695,604,0.820267592,621,0.080243735,637
6,2,4,0.806992839,595,0.25969311,621,0.811496398,647
6,3,4,0.654056718,599,0.365225006,621,0.680346827,642
6,4,4,0.542088073,602,0.478996863,621,0.602297442,638
6,5,4,0.423552519,604,0.585151879,621,0.472337105,636
6,6,4,0.276635574,606,0.671604738,621,0.306841803,634
6,7,4,0.212114991,606,0.734622992,621,0.22995927,634
6,8,4,0.158135362,607,0.777031141,621,0.175736332,633
6,9,4,0.111632142,607,0.804106855,621,0.121894269,633
6,2,5,0.759903922,596,0.178674195,621,0.885894251,645
6,3,5,0.777451506,601,0.265516879,621,0.77242375,640
6,4,5,0.645449064,604,0.371460327,621,0.711411232,636
6,5,5,0.482009211,606,0.484656556,621,0.525219795,633
6,6,5,0.430100632,608,0.589525875,621,0.457297939,632
6,7,5,0.318498017,609,0.674574195,621,0.343309386,631
6,8,5,0.203140104,609,0.736474857,621,0.258678315,630
6,9,5,0.168360653,610,0.778135901,621,0.18991071,630
6,2,6,0.822702139,597,0.116460906,621,0.925324215,644
6,3,6,0.824672033,602,0.181055377,621,0.791016042,638
6,4,6,0.636298212,605,0.268617353,621,0.72430991,635
6,5,6,0.643651344,608,0.375031697,621,0.683479483,632
6,6,6,0.460501043,610,0.488222666,621,0.574515255,630
6,7,6,0.38926819,611,0.592609451,621,0.460628063,629
6,8,6,0.300114177,611,0.676928431,621,0.368068763,628
6,9,6,0.24434531,612,0.738111041,621,0.276782393,627
6,2,7,0.915535479,598,0.073120846,621,0.898202592,643
6,3,7,0.831414423,603,0.117525021,621,0.87314606,638
6,4,7,0.757631269,606,0.182808582,621,0.809152524,634
6,5,7,0.709346592,609,0.271322186,621,0.757952246,631
6,6,7,0.572574121,611,0.378764714,621,0.670198119,629
6,7,7,0.529793451,612,0.492649027,621,0.532978817,628
6,8,7,0.40787638,613,0.597041617,621,0.462404355,627
6,9,7,0.329907654,613,0.680720607,621,0.413043291,626
6,2,8,0.885171691,598,0.044833639,621,0.963047714,643
6,3,8,0.870703215,603,0.073760933,621,0.899111533,637
6,4,8,0.807328846,607,0.118871936,621,0.865692006,633
6,5,8,0.695567805,609,0.185522484,621,0.79772675,630
6,6,8,0.659396679,611,0.276273036,621,0.741954317,628
6,7,8,0.585189114,613,0.386497743,621,0.647195816,627
6,8,8,0.485126687,614,0.5025918,621,0.573297621,626
6,9,8,0.428167033,614,0.607476469,621,0.53354727,625
7,2,2,0.488044545,589,0.297322848,622,0.482480303,654
7,3,2,0.338774722,593,0.384730331,621,0.351806861,649
7,4,2,0.246957551,595,0.466416068,621,0.234250822,647
7,5,2,0.140468119,597,0.530269437,621,0.170889793,645
7,6,2,0.088328194,597,0.575016317,621,0.110982925,644
7,7,2,0.069648694,598,0.604187954,621,0.073526095,643
7,8,2,0.040224386,598,0.622394714,621,0.047913944,643
7,9,2,0.028115557,599,0.633476528,621,0.030260082,642
7,2,3,0.548300887,593,0.228049843,621,0.581255067,649
7,3,3,0.41878072,597,0.313436969,621,0.43630808,645
7,4,3,0.287188277,599,0.400579207,621,0.301874995,641
7,5,3,0.224422905,601,0.477412985,621,0.212734,640
7,6,3,0.147302302,602,0.536976216,621,0.152359113,638
7,7,3,0.09807037,603,0.578818472,621,0.097177285,638
7,8,3,0.06294332,603,0.60628773,621,0.071838271,637
7,9,3,0.038819891,604,0.623556702,621,0.049034785,637
7,2,4,0.660484002,595,0.163809824,621,0.660353329,647
7,3,4,0.474519942,599,0.237542413,621,0.505820414,642
7,4,4,0.376524354,602,0.322629181,621,0.448108878,638
7,5,4,0.282183434,604,0.408070278,621,0.325989123,636
7,6,4,0.178146186,606,0.482661417,621,0.201714923,634
7,7,4,0.13206783,606,0.540279985,621,0.144810216,634
7,8,4,0.097230195,607,0.580777999,621,0.10915811,633
7,9,4,0.067591835,607,0.607422526,621,0.074347019,633
7,2,5,0.591862209,597,0.110224158,621,0.774419869,645
7,3,5,0.603229093,601,0.167808855,621,0.593233449,640
7,4,5,0.463420113,604,0.242138759,621,0.539371002,636
7,5,5,0.324070857,606,0.327168563,621,0.375005842,633
7,6,5,0.287426012,608,0.411906216,621,0.3088832,632
7,7,5,0.204889954,609,0.485494395,621,0.222583835,631
7,8,5,0.125530882,609,0.542177612,621,0.163557961,630
7,9,5,0.103274649,610,0.581974394,621,0.117205687,630
7,2,6,0.630852443,597,0.070662187,621,0.809459006,644
7,3,6,0.644254642,602,0.111791675,621,0.664517521,638
7,4,6,0.463375088,606,0.169972741,621,0.535319353,635
7,5,6,0.465050876,608,0.244827015,621,0.501906396,632
7,6,6,0.312686545,610,0.330096478,621,0.404827944,630
7,7,6,0.256238902,611,0.414668884,621,0.309103149,629
7,8,6,0.190504209,611,0.487771746,621,0.239620626,628
7,9,6,0.152988419,612,0.543857965,621,0.175052865,627
7,2,7,0.772370481,598,0.043866245,621,0.820122218,643
7,3,7,0.672559852,603,0.071343119,621,0.696708014,638
7,4,7,0.562859403,606,0.112964003,621,0.62152091,634
7,5,7,0.525938483,609,0.171891442,621,0.571079348,631
7,6,7,0.403087769,611,0.247674203,621,0.485476628,629
7,7,7,0.363671702,612,0.333751644,621,0.36398794,628
7,8,7,0.268888246,613,0.418619532,621,0.308445676,627
7,9,7,0.211369225,613,0.491377354,621,0.271521574,626
7,2,8,0.699279501,598,0.026701027,621,0.842617808,643
7,3,8,0.685603307,603,0.044266985,621,0.77126872,637
7,4,8,0.631363897,607,0.072210755,621,0.704337771,633
7,5,8,0.501442942,609,0.114783971,621,0.62191645,630
7,6,8,0.47001192,611,0.175397671,621,0.556665642,628
7,7,8,0.410809235,613,0.253536709,621,0.460569594,627
7,8,8,0.328222165,614,0.341879389,621,0.396765035,626
7,9,8,0.282805966,614,0.427790205,621,0.364627097,625
8,2,2,0.357068317,589,0.188697239,622,0.356629697,654
8,3,2,0.238176953,593,0.250277473,621,0.256621559,649
8,4,2,0.163015397,595,0.310308224,621,0.156005405,647
8,5,2,0.090052553,597,0.359154802,621,0.111833862,645
8,6,2,0.054963427,597,0.394440628,621,0.070992531,644
8,7,2,0.043134926,598,0.417929661,621,0.046487493,643
8,8,2,0.024677526,598,0.43278855,621,0.029985526,643
8,9,2,0.01716549,599,0.441908549,621,0.018806299,642
8,2,3,0.418090044,593,0.142315375,621,0.467274168,649
8,3,3,0.295224839,597,0.200079768,621,0.30171059,645
8,4,3,0.185927537,599,0.261799689,621,0.20674795,641
8,5,3,0.143193025,601,0.318684077,621,0.136388138,640
8,6,3,0.091577329,602,0.364461723,621,0.096764592,638
8,7,3,0.060170244,603,0.397536232,621,0.060177862,638
8,8,3,0.038143971,603,0.419673861,621,0.044193988,637
8,9,3,0.023358741,604,0.433766873,621,0.029931977,637
8,2,4,0.492779809,595,0.100546649,621,0.487460713,647
8,3,4,0.321520497,599,0.148644519,621,0.368643737,641
8,4,4,0.247493263,602,0.206508996,621,0.311563463,638
8,5,4,0.180305563,604,0.267308244,621,0.214369104,636
8,6,4,0.111383213,606,0.322724528,621,0.128411002,634
8,7,4,0.080752879,606,0.367101698,621,0.089561868,634
8,8,4,0.058976571,607,0.39914596,621,0.066909225,633
8,9,4,0.040610721,607,0.420624117,621,0.045059571,633
8,2,5,0.451796638,597,0.066733607,621,0.608147497,645
8,3,5,0.429397143,601,0.103125769,621,0.41783133,640
8,4,5,0.310689385,604,0.151736505,621,0.377998679,636
8,5,5,0.207522912,606,0.209718241,621,0.25202817,633
8,6,5,0.183576198,608,0.270162997,621,0.199202212,632
8,7,5,0.127598443,609,0.324932883,621,0.139675508,631
8,8,5,0.076173116,609,0.368636862,621,0.100996556,630
8,9,5,0.062385643,610,0.400140303,621,0.07126272,630
8,2,6,0.445104822,598,0.042352504,621,0.63341047,644
8,3,6,0.459509381,602,0.067719152,621,0.507581482,638
8,4,6,0.318692148,606,0.104533986,621,0.378307026,634
8,5,6,0.313114904,608,0.153565771,621,0.342304934,632
8,6,6,0.20164078,610,0.211815326,621,0.268262057,630
8,7,6,0.161791694,611,0.272245986,621,0.197879905,629
8,8,6,0.117335732,611,0.326728758,621,0.150375089,628
8,9,6,0.093469135,612,0.370008829,621,0.107803433,627
8,2,7,0.587522079,598,0.026113809,621,0.673476033,643
8,3,7,0.494753771,603,0.042773368,621,0.503081325,638
8,4,7,0.385111631,606,0.068462548,621,0.436469554,634
8,5,7,0.360464115,609,0.105793589,621,0.396116827,631
8,6,7,0.266143205,611,0.155517387,621,0.327206354,629
8,7,7,0.235835165,612,0.214444734,621,0.235095765,628
8,8,7,0.169747769,613,0.275226241,621,0.196141647,627
8,9,7,0.130815976,613,0.329562435,621,0.171066201,626
8,2,8,0.500322979,598,0.015826371,621,0.656826101,643
8,3,8,0.490374593,603,0.026358264,621,0.596574807,637
8,4,8,0.45074842,607,0.043311375,621,0.519845371,633
8,5,8,0.33515433,609,0.069617737,621,0.443428855,630
8,6,8,0.311890967,611,0.108091846,621,0.385023547,628
8,7,8,0.270442872,613,0.159521189,621,0.305754935,627
8,8,8,0.210718798,614,0.220260635,621,0.258291972,626
8,9,8,0.178347314,614,0.282097325,621,0.235440692,625
9,2,2,0.249898604,589,0.116294115,622,0.2534076,654
9,3,2,0.161409126,593,0.15663252,621,0.180224938,649
9,4,2,0.105363397,595,0.197031874,621,0.102369077,647
9,5,2,0.056931237,597,0.230727371,621,0.072330018,645
9,6,2,0.034091355,597,0.255526967,621,0.045168091,644
9,7,2,0.026630339,598,0.272247264,621,0.029308555,643
9,8,2,0.015147105,598,0.282910881,621,0.018783362,643
